id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
1002564,24.0,Female,,Married,4.0,High School,,16.333871676763735,Suburban,Basic,0.0,4.0,794.0,1.0,2023-03-07 15:21:39.155231,Good,Yes,Daily,Condo,323.0
882091,54.0,Female,41881.0,Single,2.0,PhD,Employed,17.230036151372563,Suburban,Basic,2.0,5.0,489.0,4.0,2023-11-01 15:21:39.125660,Good,No,Weekly,Apartment,1317.0
1095397,41.0,Female,36454.0,Married,2.0,Master's,Self-Employed,26.94828608569224,Suburban,Premium,1.0,12.0,,6.0,2024-02-07 15:21:39.134960,Good,No,Weekly,House,729.0
431680,22.0,Female,45936.0,Married,3.0,Bachelor's,,28.39040191000175,Rural,Comprehensive,0.0,12.0,607.0,4.0,2020-09-12 15:21:39.261856,Poor,Yes,Weekly,Apartment,447.0
965004,57.0,Female,8353.0,Divorced,3.0,Bachelor's,Employed,30.520864993947296,Rural,Premium,,1.0,734.0,1.0,2023-07-10 15:21:39.146733,Good,No,Daily,Apartment,790.0
496677,43.0,Male,665.0,Divorced,2.0,High School,Employed,15.555613239377095,Suburban,Basic,,13.0,463.0,2.0,2019-12-10 15:21:39.265513,Poor,Yes,Rarely,House,885.0
845364,49.0,Male,30373.0,Married,4.0,Bachelor's,Self-Employed,25.88006500309046,Urban,Comprehensive,0.0,12.0,,6.0,2021-09-13 15:21:39.176717,,No,Weekly,Condo,917.0
102091,25.0,Female,25861.0,Married,2.0,Bachelor's,Self-Employed,22.75128006738292,Rural,Premium,1.0,16.0,497.0,7.0,2020-08-23 15:21:39.183598,Average,No,Daily,Condo,1708.0
215845,64.0,Female,695.0,Married,3.0,PhD,Employed,16.92917232149486,Rural,Basic,0.0,19.0,779.0,4.0,2020-04-25 15:21:39.288099,Good,Yes,Daily,House,355.0
568057,52.0,Male,2456.0,Married,4.0,PhD,,,Suburban,Basic,,5.0,736.0,1.0,2024-06-10 15:21:39.165120,Poor,No,Weekly,House,27.0
487784,20.0,Male,,Divorced,4.0,High School,Employed,18.888413359185147,Rural,Premium,,9.0,845.0,8.0,2020-03-26 15:21:39.155231,Average,No,Rarely,House,238.0
148241,52.0,Male,919.0,Divorced,,High School,Employed,,Urban,Comprehensive,0.0,9.0,754.0,6.0,2019-08-22 15:21:39.134960,Poor,No,Daily,Condo,761.0
1028680,44.0,Female,2457.0,Married,1.0,High School,,24.52283416608137,Urban,Premium,2.0,13.0,767.0,1.0,2023-04-28 15:21:39.259788,Good,No,Rarely,House,602.0
36451,21.0,Male,65308.0,Married,0.0,Bachelor's,Unemployed,19.70758807181851,Urban,Comprehensive,,18.0,392.0,6.0,2021-09-19 15:21:39.090124,Average,Yes,Monthly,Condo,26.0
1110112,35.0,Female,29221.0,Single,0.0,PhD,,17.01261427228507,Urban,Premium,0.0,1.0,574.0,5.0,2022-05-10 15:21:39.143708,Poor,Yes,Monthly,Condo,605.0
145042,27.0,Female,38770.0,Married,4.0,High School,Unemployed,23.17198378109446,Rural,Premium,,4.0,334.0,6.0,2023-10-08 15:21:39.223901,Average,Yes,Rarely,Apartment,1476.0
1053198,46.0,Female,35167.0,Married,2.0,High School,,31.256742777192333,Rural,Basic,0.0,0.0,816.0,3.0,2024-01-30 15:21:39.172097,Poor,No,Daily,Condo,77.0
452276,32.0,Female,381.0,Divorced,3.0,PhD,Self-Employed,35.57893998575381,Urban,Premium,1.0,14.0,776.0,4.0,2019-12-07 15:21:39.094752,Average,Yes,Rarely,Apartment,518.0
517133,18.0,Female,16886.0,Single,4.0,PhD,Self-Employed,20.156464261330843,Rural,Premium,1.0,18.0,769.0,6.0,2023-05-16 15:21:39.231531,Good,No,Monthly,House,479.0
392694,33.0,Female,54968.0,Divorced,4.0,Master's,,51.86683672944615,Rural,Basic,0.0,18.0,848.0,7.0,2020-04-07 15:21:39.134960,Average,No,Daily,Apartment,100.0
1135955,24.0,Female,5022.0,Divorced,4.0,PhD,Employed,27.683529345450765,Rural,Comprehensive,0.0,18.0,668.0,3.0,2023-12-25 15:21:39.155231,Poor,Yes,Daily,Condo,2733.0
267150,53.0,Male,2853.0,Divorced,,Bachelor's,,7.0020523237704095,Urban,Premium,0.0,1.0,497.0,6.0,2020-07-06 15:21:39.112553,Poor,Yes,Monthly,Condo,112.0
101859,58.0,Male,11563.0,Single,2.0,Master's,Employed,32.38473181706676,Rural,Comprehensive,1.0,7.0,318.0,2.0,2020-03-11 15:21:39.176717,Good,No,Weekly,Condo,767.0
146876,54.0,Male,104563.0,Single,4.0,Bachelor's,Employed,11.751077394186051,Suburban,Comprehensive,2.0,2.0,711.0,8.0,2023-08-15 15:21:39.134960,Poor,No,Weekly,Condo,2323.0
214320,23.0,Male,43471.0,Single,3.0,Master's,Self-Employed,10.92833747620961,Urban,Comprehensive,0.0,2.0,536.0,1.0,2023-07-31 15:21:39.155231,Good,No,Rarely,Condo,617.0
76748,43.0,Male,17081.0,Married,2.0,Bachelor's,,,Rural,Comprehensive,0.0,7.0,690.0,3.0,2020-12-08 15:21:39.096739,Good,Yes,Rarely,House,1091.0
319616,19.0,Female,,Single,0.0,Master's,Employed,51.86904637125259,Urban,Premium,1.0,2.0,653.0,1.0,2020-01-12 15:21:39.083497,Poor,No,Rarely,Condo,38.0
1056411,49.0,Female,104674.0,Married,3.0,Bachelor's,Unemployed,5.073635208129819,Rural,Comprehensive,,1.0,351.0,7.0,2023-12-18 15:21:39.219432,Average,No,Rarely,House,918.0
907433,49.0,Female,4526.0,Single,4.0,Bachelor's,Employed,,Suburban,Comprehensive,3.0,18.0,678.0,9.0,2024-06-19 15:21:39.107553,Average,No,Weekly,Apartment,1709.0
693565,49.0,Male,4854.0,Married,1.0,Bachelor's,Unemployed,,Urban,Premium,,8.0,,7.0,2022-02-26 15:21:39.134960,Good,Yes,Weekly,Condo,1176.0
697215,55.0,Male,61870.0,Divorced,3.0,PhD,Unemployed,23.72316889692228,Rural,Comprehensive,2.0,9.0,779.0,1.0,2022-06-29 15:21:39.166062,Poor,No,Weekly,Apartment,56.0
88734,37.0,Female,11986.0,Single,0.0,PhD,,,Rural,Basic,2.0,6.0,637.0,8.0,2021-06-21 15:21:39.246098,Good,No,Monthly,House,2770.0
700160,61.0,Male,35759.0,Married,2.0,High School,Employed,16.548974172827176,Rural,Premium,0.0,9.0,607.0,2.0,2021-07-06 15:21:39.155231,Poor,Yes,Monthly,Apartment,1083.0
7378,52.0,Male,51468.0,Single,4.0,Bachelor's,Self-Employed,45.99821560347109,Rural,Basic,1.0,5.0,301.0,3.0,2021-12-07 15:21:39.264504,Average,No,Daily,House,36.0
313996,29.0,Male,15556.0,Single,1.0,PhD,Self-Employed,35.92917419250256,Suburban,Comprehensive,,9.0,799.0,1.0,2021-11-02 15:21:39.264504,Poor,No,Daily,Condo,94.0
761156,62.0,Female,14184.0,Married,4.0,High School,,14.829206287813946,Suburban,Comprehensive,,3.0,634.0,6.0,2024-01-04 15:21:39.097737,Poor,Yes,Monthly,Apartment,548.0
267308,48.0,Male,20460.0,Married,3.0,Master's,,34.60663302439856,Suburban,Basic,2.0,6.0,562.0,1.0,2020-09-07 15:21:39.093681,Poor,Yes,Monthly,Condo,2357.0
972735,37.0,Male,40003.0,Single,0.0,Master's,Employed,4.884298795446074,Rural,Basic,0.0,1.0,602.0,9.0,2020-09-30 15:21:39.105504,Good,No,Rarely,Condo,190.0
332987,45.0,Female,46230.0,Single,3.0,High School,,20.64002955574629,Rural,Basic,2.0,3.0,308.0,9.0,2020-10-19 15:21:39.237118,Good,Yes,Daily,Apartment,642.0
1087056,52.0,Male,12982.0,Divorced,,Master's,Self-Employed,9.7988504550982,Rural,Premium,,3.0,729.0,7.0,2020-09-11 15:21:39.134960,Poor,No,Daily,House,704.0
512400,34.0,Male,40737.0,Single,1.0,Bachelor's,Employed,14.07784950195923,Urban,Comprehensive,2.0,13.0,308.0,8.0,2022-09-04 15:21:39.193945,Average,No,Weekly,Apartment,523.0
876451,40.0,Female,43415.0,Married,2.0,Bachelor's,Unemployed,18.88145330205113,Urban,Comprehensive,2.0,6.0,638.0,7.0,2020-06-12 15:21:39.134960,Good,No,Daily,House,1018.0
581496,,Male,2829.0,Divorced,2.0,Bachelor's,,43.54685665105243,Suburban,Basic,0.0,11.0,552.0,9.0,2024-04-12 15:21:39.225916,,No,Monthly,Apartment,704.0
464616,64.0,Male,37398.0,Single,2.0,PhD,,31.81375165373706,Rural,Premium,1.0,15.0,653.0,4.0,2023-01-29 15:21:39.189223,Average,Yes,Weekly,Apartment,922.0
526090,62.0,Female,58766.0,Divorced,3.0,Bachelor's,Unemployed,8.724403723102332,Suburban,Basic,,1.0,442.0,3.0,2023-08-26 15:21:39.201446,Poor,Yes,Rarely,Condo,1254.0
37780,60.0,Male,2067.0,Single,4.0,PhD,Employed,,Suburban,Basic,,6.0,474.0,7.0,2020-01-10 15:21:39.095696,Good,Yes,Monthly,Apartment,1069.0
705558,56.0,Male,1035.0,Divorced,1.0,Master's,Unemployed,,Rural,Premium,0.0,2.0,538.0,2.0,2021-12-24 15:21:39.221386,Average,Yes,Daily,House,1602.0
979820,45.0,Female,15406.0,Single,1.0,High School,Unemployed,10.82623051544192,Urban,Premium,0.0,1.0,847.0,1.0,2020-03-07 15:21:39.176717,Poor,No,Daily,House,830.0
16709,34.0,Male,83620.0,Single,3.0,High School,Unemployed,45.4977553977821,Suburban,Comprehensive,,6.0,430.0,9.0,2023-02-11 15:21:39.111551,Poor,No,Daily,Condo,237.0
757372,38.0,Female,7562.0,Divorced,4.0,Master's,Employed,22.16196894054356,Rural,Premium,1.0,1.0,551.0,1.0,2020-10-27 15:21:39.119168,Average,Yes,Monthly,House,1010.0
457029,31.0,Male,26503.0,Single,0.0,Bachelor's,,6.744347674305066,Urban,Comprehensive,,0.0,553.0,1.0,2022-07-25 15:21:39.237118,Poor,No,Rarely,Condo,838.0
387577,61.0,Female,10166.0,Single,0.0,High School,Unemployed,,Urban,Basic,,6.0,,7.0,2024-01-15 15:21:39.282785,Poor,No,Monthly,Condo,1255.0
280478,50.0,Male,3398.0,Divorced,3.0,High School,Employed,40.44298767975706,Urban,Comprehensive,1.0,0.0,721.0,6.0,2023-04-10 15:21:39.134960,Average,Yes,Daily,Apartment,112.0
282602,29.0,Female,7082.0,Married,4.0,High School,Unemployed,28.247954189545048,Suburban,Premium,0.0,5.0,,8.0,2022-07-16 15:21:39.107553,Poor,No,Daily,Apartment,703.0
720904,58.0,Male,46822.0,Divorced,1.0,PhD,,51.4899025096969,Urban,Basic,1.0,13.0,751.0,8.0,2019-11-06 15:21:39.276901,Poor,No,Monthly,Condo,3747.0
831525,46.0,Male,27358.0,Married,2.0,High School,Unemployed,34.24979992964231,Urban,Basic,0.0,6.0,,3.0,2020-07-01 15:21:39.237118,Good,No,Daily,Apartment,1327.0
1100359,44.0,Male,12921.0,Divorced,2.0,Bachelor's,,17.95538759569505,Suburban,Comprehensive,3.0,5.0,534.0,1.0,2020-01-16 15:21:39.133866,Average,No,Rarely,Apartment,1194.0
899621,22.0,Female,38983.0,Single,2.0,High School,,26.89282455952151,Suburban,Premium,0.0,3.0,,5.0,2022-05-08 15:21:39.155231,Poor,No,Rarely,Apartment,930.0
1104340,29.0,Male,,Single,3.0,Bachelor's,Self-Employed,46.92338028692139,Urban,Comprehensive,,10.0,344.0,6.0,2021-11-12 15:21:39.268507,,No,Weekly,House,3115.0
636336,62.0,Female,958.0,Married,0.0,Master's,,26.81893182260469,Suburban,Basic,1.0,18.0,,9.0,2021-12-28 15:21:39.092127,Average,No,Monthly,Condo,97.0
399099,60.0,Female,137091.0,Single,2.0,PhD,,27.63150931475205,Suburban,Premium,0.0,14.0,463.0,6.0,2022-11-13 15:21:39.209847,Average,Yes,Daily,Condo,2760.0
348673,44.0,Female,8618.0,Divorced,1.0,Bachelor's,Employed,12.973572993470196,Suburban,Comprehensive,,4.0,,3.0,2023-11-21 15:21:39.252145,Poor,Yes,Daily,Condo,661.0
226163,30.0,Female,,Divorced,,PhD,Employed,28.769654166969865,Rural,Premium,,17.0,454.0,4.0,2022-12-19 15:21:39.267454,Poor,Yes,Monthly,House,27.0
1141597,20.0,Female,29279.0,Single,1.0,Master's,Unemployed,30.891021498494563,Rural,Premium,,6.0,,6.0,2022-12-12 15:21:39.185215,Average,No,Rarely,Apartment,689.0
57300,55.0,Female,5050.0,Divorced,1.0,Master's,Unemployed,20.73576655199145,Suburban,Comprehensive,1.0,5.0,494.0,8.0,2023-07-05 15:21:39.134960,Good,Yes,Monthly,House,3053.0
746288,42.0,Male,10026.0,Divorced,2.0,PhD,,19.974145186776585,Urban,Comprehensive,1.0,18.0,477.0,6.0,2022-09-27 15:21:39.110557,Good,Yes,Monthly,House,2353.0
835775,18.0,Female,26200.0,Married,1.0,Bachelor's,Employed,34.33951898397798,Urban,Basic,2.0,13.0,,5.0,2024-07-14 15:21:39.154008,Poor,Yes,Monthly,House,782.0
208422,58.0,Female,63054.0,Single,0.0,High School,Unemployed,15.85734474921063,Rural,Basic,1.0,6.0,516.0,4.0,2020-08-16 15:21:39.086123,Poor,Yes,Rarely,Apartment,211.0
522531,48.0,Male,622.0,Divorced,4.0,Bachelor's,Self-Employed,25.9826581564307,Suburban,Premium,,7.0,483.0,9.0,2020-03-19 15:21:39.094752,Average,No,Weekly,Apartment,515.0
1049521,55.0,Female,3645.0,Divorced,4.0,PhD,Self-Employed,21.331903563726105,Rural,Premium,,4.0,318.0,1.0,2023-08-01 15:21:39.285112,Good,No,Monthly,Condo,731.0
37105,40.0,Female,11863.0,Married,2.0,Bachelor's,Employed,3.93927034428881,Rural,Basic,1.0,10.0,695.0,8.0,2020-06-25 15:21:39.237118,Good,Yes,Weekly,Apartment,654.0
1073395,51.0,Female,35244.0,Single,3.0,PhD,,23.088060664398864,Suburban,Comprehensive,,2.0,776.0,6.0,2024-08-13 15:21:39.237118,Average,No,Daily,Condo,922.0
566698,44.0,Female,30984.0,Married,0.0,Master's,,36.64016399398582,Rural,Basic,2.0,1.0,663.0,1.0,2020-11-25 15:21:39.237118,Poor,No,Weekly,Apartment,479.0
10174,36.0,Male,957.0,Married,2.0,High School,Employed,11.52933066069967,Suburban,Premium,2.0,14.0,588.0,7.0,2023-10-04 15:21:39.259788,Poor,Yes,Daily,Condo,1091.0
1076455,38.0,Male,72296.0,Married,3.0,High School,Employed,28.92468422826369,Urban,Comprehensive,0.0,17.0,816.0,9.0,2019-09-21 15:21:39.188220,Poor,No,Weekly,House,1885.0
106289,63.0,Female,10892.0,Married,0.0,Bachelor's,,13.077919181886664,Rural,Premium,1.0,2.0,784.0,5.0,2021-11-14 15:21:39.244069,Good,No,Rarely,Condo,1795.0
182308,35.0,Male,8881.0,Divorced,2.0,High School,Self-Employed,13.542108036146624,Urban,Comprehensive,0.0,2.0,544.0,2.0,2020-04-19 15:21:39.155231,Poor,Yes,Weekly,Condo,1686.0
911623,48.0,Female,20231.0,Single,3.0,High School,Self-Employed,3.0776905097372413,Suburban,Comprehensive,0.0,7.0,,6.0,2024-03-24 15:21:39.265513,Poor,No,Daily,Apartment,854.0
835927,51.0,Male,10066.0,Single,3.0,Master's,Employed,48.06619777993938,Urban,Premium,,17.0,551.0,2.0,2024-06-04 15:21:39.119168,Average,No,Rarely,Apartment,1556.0
194785,64.0,Male,17071.0,Divorced,2.0,PhD,Unemployed,30.47803373206984,Suburban,Comprehensive,0.0,17.0,694.0,4.0,2023-04-13 15:21:39.125660,Poor,No,Daily,House,35.0
1172729,31.0,Female,7077.0,Single,0.0,PhD,,28.81114227822817,Suburban,Basic,,10.0,641.0,4.0,2021-03-12 15:21:39.237118,Average,Yes,Rarely,Apartment,588.0
623903,31.0,Male,37723.0,Single,2.0,Master's,Unemployed,16.290597725136994,Urban,Premium,1.0,8.0,,6.0,2021-07-04 15:21:39.255696,Average,No,Monthly,Condo,681.0
202883,23.0,Female,43936.0,Divorced,3.0,Master's,Employed,7.819155823497055,Rural,Basic,1.0,0.0,549.0,2.0,2023-03-16 15:21:39.253660,Average,Yes,Weekly,Apartment,959.0
929928,52.0,Male,3537.0,Single,1.0,Master's,,40.33831136145055,Urban,Comprehensive,0.0,18.0,551.0,4.0,2021-09-22 15:21:39.267454,Average,Yes,Daily,Apartment,41.0
97308,30.0,Male,26706.0,Divorced,4.0,PhD,Unemployed,4.038616616830034,Urban,Basic,0.0,15.0,477.0,9.0,2020-03-10 15:21:39.084065,Good,Yes,Weekly,Apartment,309.0
820774,49.0,Female,37606.0,Divorced,3.0,Master's,Unemployed,30.82736699203056,Suburban,Basic,,8.0,805.0,3.0,2022-12-03 15:21:39.155231,Poor,No,Daily,Apartment,486.0
608103,61.0,Male,20983.0,Married,,Master's,Unemployed,12.153429867812044,Suburban,Premium,0.0,1.0,469.0,8.0,2023-02-09 15:21:39.134960,Poor,No,Monthly,Apartment,676.0
953715,40.0,Female,11278.0,Divorced,0.0,Master's,Employed,15.001986599820713,Suburban,Premium,,7.0,434.0,9.0,2022-07-06 15:21:39.155231,Average,Yes,Monthly,Apartment,542.0
265343,38.0,Male,66937.0,Divorced,1.0,PhD,Self-Employed,11.648324349058631,Suburban,Comprehensive,2.0,18.0,742.0,7.0,2021-09-20 15:21:39.245086,Good,No,Daily,Condo,2639.0
805183,56.0,Female,27112.0,Divorced,1.0,Bachelor's,,22.82435241595561,Rural,Basic,0.0,8.0,603.0,2.0,2019-08-17 15:21:39.252145,Good,No,Monthly,Condo,2386.0
694607,33.0,Female,4567.0,Single,4.0,Master's,Unemployed,21.56401248522896,Suburban,Basic,3.0,10.0,,2.0,2023-12-30 15:21:39.134960,Average,Yes,Daily,House,498.0
122896,20.0,Male,83753.0,Single,2.0,High School,Unemployed,29.38189338424352,Rural,Basic,0.0,17.0,410.0,7.0,2023-10-13 15:21:39.213373,Average,No,Weekly,Condo,1549.0
527151,42.0,Female,11975.0,Married,0.0,PhD,,30.24370231549232,Suburban,Premium,1.0,18.0,521.0,2.0,2021-03-19 15:21:39.111551,,No,Weekly,Apartment,821.0
56247,60.0,Male,25970.0,Married,3.0,Bachelor's,Self-Employed,41.40792006554045,Urban,Basic,2.0,13.0,,2.0,2024-01-19 15:21:39.256696,Good,No,Rarely,Apartment,2994.0
177800,56.0,Male,15556.0,Married,3.0,PhD,,12.420180992936093,Urban,Comprehensive,1.0,6.0,657.0,1.0,2023-11-22 15:21:39.155231,Poor,Yes,Monthly,House,1168.0
1085833,59.0,Male,25602.0,Married,,Bachelor's,Unemployed,31.92358349606918,Urban,Premium,1.0,5.0,,7.0,2022-04-11 15:21:39.171102,Good,No,Weekly,House,1391.0
1043567,18.0,Female,7631.0,Married,,PhD,Employed,29.72295868704761,Rural,Basic,,14.0,777.0,7.0,2022-07-21 15:21:39.106582,Good,No,Daily,Apartment,626.0
1002444,21.0,Female,131791.0,Single,,Bachelor's,Unemployed,9.269316151733433,Urban,Premium,1.0,18.0,386.0,1.0,2019-12-24 15:21:39.170099,Poor,No,Monthly,House,1403.0
1054378,28.0,Male,5269.0,Married,,Master's,,41.988661163179145,Rural,Premium,1.0,13.0,848.0,9.0,2021-10-07 15:21:39.134960,Average,Yes,Rarely,Condo,605.0
200806,53.0,Female,16076.0,Married,0.0,PhD,,24.782366853767243,Rural,Basic,,4.0,647.0,7.0,2024-06-18 15:21:39.121169,Good,Yes,Monthly,Apartment,1246.0
133662,46.0,Male,92791.0,Single,1.0,Bachelor's,,31.02771535527388,Rural,Premium,4.0,0.0,,4.0,2021-10-03 15:21:39.134960,Average,No,Monthly,House,2738.0
655982,24.0,Female,3189.0,Single,3.0,High School,Employed,7.045849783269981,Urban,Basic,0.0,11.0,609.0,4.0,2019-12-10 15:21:39.254678,,Yes,Monthly,Condo,622.0
1156441,19.0,Female,18078.0,Married,,Bachelor's,Unemployed,17.039201454377,Rural,Premium,,6.0,829.0,5.0,2023-01-06 15:21:39.173834,Good,No,Monthly,Condo,1073.0
443949,30.0,Female,26319.0,Married,1.0,High School,Self-Employed,21.53396946156767,Rural,Comprehensive,,19.0,522.0,7.0,2022-03-08 15:21:39.237118,Poor,No,Daily,Condo,1324.0
311057,29.0,Female,113937.0,Single,3.0,High School,Self-Employed,4.912607669743727,Rural,Comprehensive,0.0,16.0,455.0,4.0,2024-05-12 15:21:39.183598,Poor,No,Rarely,Apartment,735.0
171796,48.0,Female,75318.0,Divorced,1.0,High School,Employed,32.83833810781483,Suburban,Basic,2.0,11.0,588.0,5.0,2021-02-18 15:21:39.205850,Good,Yes,Weekly,House,352.0
433611,35.0,Male,27331.0,Divorced,0.0,Master's,Unemployed,29.293547933130057,Suburban,Basic,0.0,17.0,725.0,8.0,2023-11-22 15:21:39.134960,Poor,No,Rarely,Condo,456.0
756259,35.0,Female,9889.0,Single,1.0,High School,Employed,39.845840488721,Suburban,Comprehensive,0.0,4.0,308.0,4.0,2021-03-26 15:21:39.134960,Good,Yes,Rarely,Apartment,591.0
797069,41.0,Male,18341.0,Single,3.0,Bachelor's,Self-Employed,28.25783338782773,Rural,Premium,1.0,11.0,765.0,9.0,2022-03-24 15:21:39.134960,Poor,Yes,Weekly,Condo,588.0
330915,20.0,Male,81357.0,Single,1.0,Master's,,41.63346998608641,Suburban,Basic,,18.0,727.0,7.0,2023-01-28 15:21:39.180553,Average,No,Daily,House,259.0
1103144,24.0,Male,32798.0,Married,0.0,Bachelor's,,34.09032951233399,Rural,Comprehensive,0.0,16.0,364.0,9.0,2021-04-12 15:21:39.125660,Good,Yes,Daily,Apartment,1488.0
170541,19.0,Female,42364.0,Divorced,0.0,Master's,,23.9945933999604,Rural,Premium,0.0,0.0,443.0,3.0,2022-04-08 15:21:39.170099,Poor,No,Monthly,Apartment,208.0
894611,24.0,Female,30663.0,Divorced,2.0,Master's,Employed,10.07121817593941,Suburban,Basic,1.0,9.0,614.0,3.0,2022-03-21 15:21:39.172097,Good,No,Daily,Condo,923.0
777583,27.0,Female,10049.0,Divorced,2.0,Master's,Unemployed,,Suburban,Premium,1.0,17.0,478.0,5.0,2020-01-10 15:21:39.207847,Poor,Yes,Weekly,Apartment,549.0
335391,59.0,Male,4058.0,Married,4.0,High School,Employed,20.06659736249524,Suburban,Basic,2.0,4.0,517.0,3.0,2020-05-30 15:21:39.245086,Good,No,Weekly,Condo,563.0
80310,48.0,Female,3907.0,Married,1.0,Master's,,16.912127427140792,Rural,Basic,,5.0,749.0,7.0,2023-06-01 15:21:39.175719,,Yes,Weekly,Apartment,1287.0
293578,43.0,Female,131579.0,,1.0,High School,Self-Employed,,Rural,Premium,,5.0,665.0,5.0,2022-03-06 15:21:39.102694,Average,Yes,Daily,Condo,977.0
708083,35.0,Female,43971.0,Single,2.0,Bachelor's,Employed,47.67883372521735,Rural,Basic,,2.0,526.0,7.0,2019-10-15 15:21:39.276901,Poor,Yes,Daily,Apartment,846.0
311033,22.0,Male,26983.0,Married,0.0,PhD,Unemployed,11.823201255255093,Suburban,Comprehensive,,15.0,,2.0,2023-06-14 15:21:39.134960,Poor,No,Weekly,Apartment,447.0
516943,40.0,Male,72430.0,Married,1.0,PhD,,10.937345096103709,Urban,Comprehensive,0.0,6.0,308.0,7.0,2020-01-20 15:21:39.151732,Good,No,Weekly,House,721.0
654860,37.0,Female,7053.0,Divorced,2.0,High School,,33.48291223446953,Urban,Basic,,13.0,757.0,1.0,2021-08-24 15:21:39.150730,Average,No,Rarely,Condo,1524.0
1131408,64.0,Female,44763.0,Single,2.0,High School,Unemployed,30.95919159657893,Urban,Premium,1.0,8.0,554.0,3.0,2021-02-15 15:21:39.172097,Good,Yes,Monthly,Apartment,704.0
